Complexity,Loss,Equation
1,0.054593729077643365,"-0.2295595511301861",-0.2295595511301861
3,0.010462632770028346,"(h * -0.0269382769590102)",h * -0.0269382769590102
5,0.004071300426209491,"((h * -0.038931648289337886) + 0.15995159570240972)",-0.038931648289337886*h + 0.15995159570240972
7,0.0012724068234440564,"((h * -0.037731182223677016) + (d * 7.197068970323941))",-0.037731182223677016*h + 7.197068970323941*d
9,0.001125810930519236,"((0.03665306944151585 - (h * 0.03893164828987059)) + (d * 6.1649263133728365))",0.03665306944151585 - 0.03893164828987059*h + 6.1649263133728365*d
11,0.0011257649609041393,"(((h * -0.038931648289337886) - -0.03665307007423895) + (d * (6.164926281030929 + d)))",-0.038931648289337886*h + 0.03665307007423895 + d*(6.164926281030929 + d)
13,0.00040948896970278265,"((((h * h) * -0.0007921056291441561) - (h * 0.023613286813651213)) + (d * 5.707802560641586))",-0.0007921056291441561*h^2 - 0.023613286813651213*h + 5.707802560641586*d
15,0.00040614199796297696,"(((((h * h) + 1.6331613396816385) * -0.0007921056166710133) - (h * 0.023594582907475608)) + (d * 5.7078026354936595))"，-0.0007921056166710133*h^2 - 0.001293636270 - 0.023594582907475608*h + 5.7078026354936595*d
17,0.0003772176618194932,"((((h * h) * -0.0007921056291441561) - (h * 0.023613286813651213)) + (d * (5.707802560641586 + (d * h))))"，-0.0007921056291441561*h^2 - 0.023613286813651213*h + d*(5.707802560641586 + d*h)
19,0.00034388004723332545,"((((h * h) * -0.000792105632470666) + (h * -0.023613286759921522)) + (d * ((6.110588210334998 - 0.6887343478704994) + (h * d))))",-0.000792105632470666*h^2 - 0.023613286759921522*h + d*(5.421853862 + d*h)
