Complexity,Loss,Equation,eq
1,0.07378593988594889,"0.6030515508532089",0.6030515508532089
3,0.04144072579822297,"(h * 0.05447840578713375)",h * 0.05447840578713375
5,0.0160291403253779,"((d * h) + 0.4029515596737332)",d*h + 0.4029515596737332
7,0.00376263890077795,"(((1.7198147317307826 * d) * h) - -0.2589166328139588)",1.7198147317307826*d*h + 0.2589166328139588
9,0.0032166314748673214,"((((d * 1.5473715982817247) - -0.006123736234105838) * h) - -0.23215452527753588)",1.5473715982817247*d*h + 0.006123736234105838*h + 0.23215452527753588
11,0.0016138516532092039,"(((h * (2.251023224236591 - (h * d))) * d) - -0.2163362381407744)",2.251023224236591*d*h - d^2*h^2 + 0.2163362381407744
13,0.0008502055811901195,"(((h * (1.392853699755291 - (h * d))) * (d + d)) - -0.1738933103189964)",2.785707400*d*h - 2*d^2*h^2 + 0.1738933103189964
15,0.0008474961261032153,"(((h * (2.7955210714843903 - (d * ((h - 0.45082259350748793) * 2.079536319953938)))) * d) - -0.17165005961766822)",2.7955210714843903*d*h - 2.079536319953938*d^2*h^2 + 0.9375019571*d^2*h + 0.17165005961766822
17,0.0008357220915062137,"(((h * (2.7955210714843903 - (d * ((h - (d * h)) * 2.079536319953938)))) * d) - -0.17165005961766822)",2.7955210714843903*d*h + 2.079536319953938*d^3*h^2 - 2.079536319953938*d^2*h^2 + 0.17165005961766822
19,0.000835572560605134,"(((h * (2.7955210714843903 - (d * (((h - (d * h)) - d) * 2.079536319953938)))) * d) - -0.17165005961766822)",2.7955210714843903*d*h + 2.079536319953938*d^3*h^2 + 2.079536319953938*d^3*h - 2.079536319953938*d^2*h^2 + 0.17165005961766822
